nr_threads, speedup
1, 1.00
2, 2.14
3, 2.78
4, 3.35
5, 3.86
6, 4.39
7, 4.93
8, 5.62
9, 6.06
10, 6.43
11, 6.91
12, 7.59
13, 7.71
14, 7.49
15, 8.10
16, 7.31
17, 7.81
18, 8.20
19, 8.34
20, 6.87
21, 8.45
22, 8.25
23, 8.36
24, 8.24
25, 8.58
26, 8.48
27, 8.83
28, 8.35
29, 8.03
30, 8.25
31, 8.63
32, 8.66
